[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1667528719.530000 11/4/2022, 2:25:19 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, FeCl2btd-d4_seruzi
INFO, WEIGHT, 18.820
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, eicosane 14.73mg
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_221104_FeCl2btd-d4_seruzi.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1667528719.530,,0.000000e+000,1.999672e+000,4.456035e-004,0.000000e+000,3,9.946910e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,5.110502e-004,0.000000e+000,0,,0,
1667528774.894,,1.005028e+002,1.997170e+000,2.522346e-003,0.000000e+000,3,9.956359e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,1.090765e-004,0.000000e+000,0,,0,
1667528805.840,,2.006895e+002,1.999549e+000,4.143161e-003,0.000000e+000,3,9.845636e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,5.362868e-003,0.000000e+000,0,,0,
1667528837.458,,3.011186e+002,2.000046e+000,5.863817e-003,0.000000e+000,3,9.905475e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,5.036950e-003,0.000000e+000,0,,0,
1667528870.741,,4.013475e+002,1.999962e+000,7.871669e-003,0.000000e+000,3,9.916595e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.400015e-003,0.000000e+000,0,,0,
1667528954.751,,5.016396e+002,1.998071e+000,1.632991e-002,0.000000e+000,3,9.953935e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,1.789331e-004,0.000000e+000,0,,0,
1667528986.443,,6.017842e+002,1.999770e+000,5.400469e-002,0.000000e+000,3,9.954230e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,5.144000e-003,0.000000e+000,0,,0,
1667529066.391,,7.022239e+002,1.997962e+000,1.046090e-001,0.000000e+000,3,9.951549e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,6.902218e-005,0.000000e+000,0,,0,
1667529098.347,,8.024846e+002,2.000530e+000,1.506736e-001,0.000000e+000,3,9.952103e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,6.636024e-003,0.000000e+000,0,,0,
1667529130.901,,9.028294e+002,1.999950e+000,1.890938e-001,0.000000e+000,3,9.951714e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,5.063891e-003,0.000000e+000,0,,0,
1667529161.957,,1.003005e+003,2.000771e+000,2.196303e-001,0.000000e+000,3,9.950212e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,6.127000e-003,0.000000e+000,0,,0,
1667529264.368,,2.007949e+003,1.999314e+000,3.355811e-001,0.000000e+000,3,9.950539e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,1.119018e-003,0.000000e+000,0,,0,
1667529301.929,,3.012767e+003,2.000384e+000,3.684623e-001,0.000000e+000,3,9.945344e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.335046e-003,0.000000e+000,0,,0,
1667529338.306,,4.014634e+003,2.000040e+000,3.878090e-001,0.000000e+000,3,9.948700e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.994988e-003,0.000000e+000,0,,0,
1667529375.162,,5.017766e+003,1.999859e+000,4.037920e-001,0.000000e+000,3,9.949136e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.634023e-003,0.000000e+000,0,,0,
1667529411.763,,6.019211e+003,1.999969e+000,4.191152e-001,0.000000e+000,3,9.948108e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.414082e-003,0.000000e+000,0,,0,
1667529448.222,,7.023926e+003,2.000267e+000,4.354592e-001,0.000000e+000,3,9.948616e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,4.652023e-003,0.000000e+000,0,,0,
1667529484.726,,8.026111e+003,1.999926e+000,4.550004e-001,0.000000e+000,3,9.948343e-001,0.000000e+000,,,,,,,,,,,,,,32,1,8.000000e+000,3.969908e-003,0.000000e+000,0,,0,
