[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1627930469.197000 8/2/2021, 7:54:29 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, FeCl2btd
INFO, WEIGHT, 11.850
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, 10.23 mg eicosane
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_210802_FeCl2btd_jedimu.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1627930469.182,,1.000000e+002,3.000086e+002,9.116570e-005,3.184336e-008,1.782211e-001,2.603195e-004,3,9.822504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.887695e-003,0,,0,
1627930976.931,,1.000000e+002,2.902622e+002,9.348836e-005,3.184600e-008,1.770915e-001,2.163663e-004,3,9.826651e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.469727e-002,0,,0,
1627931219.917,,1.000000e+002,2.794824e+002,9.635841e-005,2.908595e-008,1.657340e-001,8.809347e-005,3,9.830025e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.403015e-001,0,,0,
1627931438.988,,1.000000e+002,2.695724e+002,9.912559e-005,2.918685e-008,1.565766e-001,4.530449e-005,3,9.833409e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.832947e-001,0,,0,
1627931660.883,,1.000000e+002,2.595874e+002,1.021424e-004,5.743238e-009,1.481973e-001,5.423778e-005,3,9.838148e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.322998e-001,0,,0,
1627931880.844,,1.000000e+002,2.495890e+002,1.052958e-004,1.949699e-008,1.409044e-001,1.121079e-004,3,9.840069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.478943e-001,0,,0,
1627932102.816,,1.000000e+002,2.395880e+002,1.086790e-004,2.684771e-008,1.341461e-001,1.340356e-004,3,9.845074e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.404022e-001,0,,0,
1627932326.864,,1.000000e+002,2.296092e+002,1.121747e-004,1.856735e-008,1.275632e-001,1.329611e-004,3,9.847865e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.657013e-001,0,,0,
1627932551.707,,1.000000e+002,2.196066e+002,1.158829e-004,3.255364e-008,1.210937e-001,1.670765e-004,3,9.852204e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.427979e-001,0,,0,
1627932779.499,,1.000000e+002,2.096344e+002,1.198340e-004,3.062216e-008,1.146222e-001,3.188514e-004,3,9.856730e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.302094e-001,0,,0,
1627933007.259,,1.000000e+002,1.996214e+002,1.241065e-004,1.729710e-008,1.085412e-001,9.099983e-005,3,9.862728e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.427979e-001,0,,0,
1627933237.672,,1.000000e+002,1.896633e+002,1.287871e-004,3.637983e-008,1.028856e-001,1.010198e-004,3,9.866074e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.192993e-001,0,,0,
1627933472.858,,1.000000e+002,1.796776e+002,1.339822e-004,3.753640e-008,9.751897e-002,6.783925e-005,3,9.870089e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.349854e-001,0,,0,
1627933713.098,,1.000000e+002,1.697107e+002,1.397027e-004,2.666418e-008,9.231453e-002,1.207668e-004,3,9.873494e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.534027e-001,0,,0,
1627933961.544,,1.000000e+002,1.597814e+002,1.460775e-004,3.570734e-008,8.750549e-002,7.108179e-005,3,9.877074e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.306976e-001,0,,0,
1627934217.946,,1.000000e+002,1.498564e+002,1.531894e-004,4.742733e-008,8.274875e-002,2.368622e-004,3,9.880823e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.136993e-001,0,,0,
1627934482.039,,1.000000e+002,1.399350e+002,1.612843e-004,2.701852e-008,7.794021e-002,3.241148e-005,3,9.883990e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.789093e-001,0,,0,
1627934747.536,,1.000000e+002,1.299816e+002,1.706172e-004,3.280505e-008,7.382874e-002,1.264040e-004,3,9.887210e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.627960e-001,0,,0,
1627935011.894,,1.000000e+002,1.200039e+002,1.815386e-004,3.988973e-008,7.005497e-002,7.154788e-005,3,9.889733e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.399002e-001,0,,0,
