[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1627915754.159000 8/2/2021, 3:49:14 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, FeCl2btd
INFO, WEIGHT, 11.850
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, 10.23 mg eicosane
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_210802_FeCl2btd_jedimu.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1627915754.159,,1.000000e+002,2.001542e+000,1.846903e-003,3.376694e-005,3.323808e-002,2.827387e-004,3,9.899021e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.012968e-003,0,,0,
1627915949.877,,1.000000e+002,2.252213e+000,1.951905e-003,7.483242e-005,3.446274e-002,4.055809e-004,3,9.898723e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.642797e-003,0,,0,
1627916146.921,,1.000000e+002,2.502227e+000,2.186328e-003,1.273435e-004,3.573155e-002,7.109407e-004,3,9.898001e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.940821e-003,0,,0,
1627916354.526,,1.000000e+002,2.751842e+000,2.681023e-003,1.974094e-004,3.787671e-002,5.760521e-004,3,9.897907e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.527092e-003,0,,0,
1627916589.806,,1.000000e+002,3.001407e+000,3.327189e-003,2.200675e-004,3.869399e-002,1.329491e-004,3,9.898012e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.500151e-003,0,,0,
1627916880.731,,1.000000e+002,3.250911e+000,4.159282e-003,3.296321e-004,3.894246e-002,1.149986e-004,3,9.899065e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.174160e-003,0,,0,
1627917201.343,,1.000000e+002,3.509441e+000,5.120044e-003,3.608916e-004,3.895836e-002,1.202036e-004,3,9.899651e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.660298e-002,0,,0,
1627917468.790,,1.000000e+002,3.612695e+000,6.116411e-003,3.471290e-004,3.884278e-002,3.258174e-004,3,9.898394e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.330995e-002,0,,0,
1627917659.469,,1.000000e+002,3.708108e+000,7.064237e-003,2.134731e-004,3.928375e-002,1.594479e-004,3,9.901218e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.204300e-002,0,,0,
1627917852.800,,1.000000e+002,3.801959e+000,7.730318e-003,1.829792e-004,3.906628e-002,1.105730e-004,3,9.900849e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.060414e-002,0,,0,
