[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1612974808.117000 2/10/2021, 4:33:28 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, Fecl2pym_muciwe2
INFO, WEIGHT, 4.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, eicosane 5.9
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_210210.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1612974808.117,,1.000000e+002,3.000110e+002,3.040820e-005,1.399376e-008,1.724725e-001,3.085551e-004,3,9.836779e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.980591e-002,0,,0,
1612975312.263,,1.000000e+002,2.902741e+002,3.177120e-005,4.199191e-007,1.702174e-001,4.735386e-004,3,9.605387e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.469727e-002,0,,0,
1612975546.388,,1.000000e+002,2.794341e+002,3.292569e-005,1.594212e-008,1.559495e-001,1.677013e-003,3,9.851370e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.572998e-001,0,,0,
1612975758.502,,1.000000e+002,2.695833e+002,3.421070e-005,1.024172e-008,1.458732e-001,1.546818e-004,3,9.855396e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.070068e-001,0,,0,
1612975974.063,,1.000000e+002,2.595840e+002,3.562343e-005,8.572541e-009,1.373673e-001,2.579138e-004,3,9.861715e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.396240e-001,0,,0,
1612976186.707,,1.000000e+002,2.495844e+002,3.713422e-005,5.951203e-009,1.303387e-001,7.172925e-005,3,9.866086e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.480011e-001,0,,0,
1612976402.268,,1.000000e+002,2.395940e+002,3.874669e-005,1.588616e-008,1.244020e-001,2.641901e-004,3,9.874427e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.528076e-001,0,,0,
1612976618.641,,1.000000e+002,2.296154e+002,4.051509e-005,1.005776e-008,1.186618e-001,2.528236e-004,3,9.876987e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.317963e-001,0,,0,
1612976834.233,,1.000000e+002,2.196245e+002,4.242984e-005,1.044939e-008,1.130265e-001,1.536784e-004,3,9.880773e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.635040e-001,0,,0,
1612977052.711,,1.000000e+002,2.096337e+002,4.451616e-005,9.743697e-009,1.077058e-001,1.314323e-004,3,9.883528e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.445068e-001,0,,0,
