[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1612956253.086000 2/10/2021, 11:24:13 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, Fecl2pym_muciwe2
INFO, WEIGHT, 4.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, eicosane 5.9
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_210210.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1612956253.086,,1.000000e+002,2.006449e+000,2.614592e-004,2.706673e-008,4.619946e-002,4.044242e-005,3,9.873105e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.018141e-003,0,,0,
1612956403.454,,1.000000e+002,2.262870e+000,2.621457e-004,1.376376e-007,4.638711e-002,1.872593e-005,3,9.873966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.337695e-002,0,,0,
1612956585.351,,1.000000e+002,2.508122e+000,2.638908e-004,5.918397e-008,4.643485e-002,5.577569e-005,3,9.874153e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.133895e-002,0,,0,
1612956779.508,,1.000000e+002,2.755697e+000,2.653954e-004,4.402661e-008,4.650305e-002,3.745827e-005,3,9.875059e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,8.323193e-003,0,,0,
1612957001.466,,1.000000e+002,3.003023e+000,2.671859e-004,6.497683e-008,4.656419e-002,5.200971e-005,3,9.875109e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.208181e-003,0,,0,
1612957265.949,,1.000000e+002,3.252877e+000,2.695944e-004,6.092910e-008,4.657699e-002,3.246752e-005,3,9.875168e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.632090e-003,0,,0,
1612957463.772,,1.000000e+002,3.538342e+000,2.719869e-004,2.049382e-007,4.666138e-002,1.328718e-005,3,9.875684e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.683400e-002,0,,0,
1612957662.985,,1.000000e+002,3.764894e+000,2.756506e-004,1.560562e-007,4.673864e-002,3.618023e-005,3,9.875478e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.581407e-002,0,,0,
1612957900.074,,1.000000e+002,3.949809e+000,2.794894e-004,2.332780e-006,4.676390e-002,2.431080e-005,3,9.875655e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.446620e-001,0,,0,
1612958267.111,,1.000000e+002,4.257853e+000,2.871433e-004,1.453061e-007,4.676114e-002,2.038444e-005,3,9.875114e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.486397e-002,0,,0,
1612958430.428,,1.000000e+002,4.507059e+000,2.929776e-004,2.817931e-007,4.681551e-002,1.728028e-005,3,9.875278e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.130955e-003,0,,0,
1612958583.137,,1.000000e+002,4.755788e+000,3.006403e-004,3.504659e-007,4.688118e-002,4.626747e-005,3,9.874479e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.732941e-003,0,,0,
1612958737.749,,1.000000e+002,5.004407e+000,3.096793e-004,3.399959e-007,4.693938e-002,3.280235e-005,3,9.873657e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.673813e-003,0,,0,
1612958890.239,,1.000000e+002,5.253015e+000,3.199527e-004,4.311005e-007,4.704339e-002,2.376713e-005,3,9.873773e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.595402e-002,0,,0,
1612959042.792,,1.000000e+002,5.507681e+000,3.310349e-004,4.279293e-007,4.710935e-002,3.219177e-005,3,9.873106e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.549578e-002,0,,0,
1612959196.343,,1.000000e+002,5.755011e+000,3.425669e-004,2.783156e-007,4.707841e-002,2.358710e-005,3,9.872610e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,7.263184e-003,0,,0,
1612959350.424,,1.000000e+002,6.005045e+000,3.547438e-004,3.092682e-007,4.701540e-002,1.834637e-005,3,9.872229e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.048565e-002,0,,0,
1612959461.496,,1.000000e+002,6.504992e+000,3.824016e-004,3.597320e-007,4.684477e-002,2.413807e-005,3,9.871088e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.471893e-003,0,,0,
1612959615.328,,1.000000e+002,7.004320e+000,4.217790e-004,4.871172e-007,4.695622e-002,4.020932e-005,3,9.869612e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.513855e-003,0,,0,
1612959771.531,,1.000000e+002,7.505260e+000,4.761374e-004,6.053386e-007,4.707416e-002,8.363737e-005,3,9.869356e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.311398e-002,0,,0,
1612959926.096,,1.000000e+002,8.004839e+000,5.549254e-004,8.511991e-007,4.715243e-002,4.445929e-005,3,9.868116e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.214695e-002,0,,0,
1612960082.034,,1.000000e+002,8.505563e+000,6.769306e-004,1.373091e-006,4.729019e-002,7.445836e-005,3,9.866736e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,8.139610e-003,0,,0,
1612960237.177,,1.000000e+002,9.004414e+000,8.611678e-004,1.709868e-006,4.741812e-002,5.956874e-005,3,9.865080e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.217270e-002,0,,0,
1612960405.672,,1.000000e+002,9.504031e+000,1.106472e-003,1.749789e-007,4.749849e-002,3.032719e-005,3,9.863383e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.716873e-003,0,,0,
1612960561.345,,1.000000e+002,1.000499e+001,1.295946e-003,1.008638e-006,4.759041e-002,2.708548e-005,3,9.862789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.486198e-003,0,,0,
1612960717.548,,1.000000e+002,1.051201e+001,1.313076e-003,6.933056e-007,4.770508e-002,2.439553e-005,3,9.863256e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.789467e-003,0,,0,
1612960872.956,,1.000000e+002,1.101904e+001,1.136190e-003,1.055262e-006,4.778605e-002,1.953504e-005,3,9.864430e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.320259e-003,0,,0,
