[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1613000610.827000 2/10/2021, 11:43:30 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, Fecl2pym_muciwe2
INFO, WEIGHT, 4.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, eicosane 5.9
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_210210.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1613000610.827,,0.000000e+000,2.001093e+000,-1.902381e-005,4.975009e-008,0.000000e+000,0.000000e+000,2,9.288695e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,1.568079e-003,0,,0,
1613000663.649,,1.005871e+002,2.002428e+000,2.572251e-004,3.946725e-007,0.000000e+000,0.000000e+000,2,9.571793e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,3.340244e-004,0,,0,
1613000704.755,,2.030075e+002,2.002070e+000,5.334566e-004,1.042295e-006,0.000000e+000,0.000000e+000,2,9.565612e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,4.589558e-004,0,,0,
1613000761.165,,3.053435e+002,2.000755e+000,8.126830e-004,1.007236e-006,0.000000e+000,0.000000e+000,2,9.565474e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,8.320808e-004,0,,0,
1613000802.271,,4.059939e+002,1.999550e+000,1.085646e-003,1.728881e-006,0.000000e+000,0.000000e+000,2,9.563338e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,5.519390e-004,0,,0,
1613000843.580,,5.062965e+002,1.998889e+000,1.360097e-003,2.375770e-006,0.000000e+000,0.000000e+000,2,9.560704e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,1.519918e-004,0,,0,
1613000885.154,,6.065465e+002,1.998772e+000,1.636663e-003,3.257446e-006,0.000000e+000,0.000000e+000,2,9.562061e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,3.730059e-004,0,,0,
1613000926.728,,7.068594e+002,1.999067e+000,1.915382e-003,4.161298e-006,0.000000e+000,0.000000e+000,2,9.561970e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,6.070137e-004,0,,0,
1613000976.274,,8.062142e+002,1.999795e+000,2.195790e-003,3.567864e-006,0.000000e+000,0.000000e+000,2,9.560075e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,6.920099e-004,0,,0,
1613001017.848,,9.063905e+002,2.000394e+000,2.477387e-003,5.424645e-006,0.000000e+000,0.000000e+000,2,9.559014e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,6.370544e-004,0,,0,
