[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1666827622.280000 10/27/2022, 12:40:22 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, NiCl2btd-d4_tefeyo
INFO, WEIGHT, 8.630
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, evioseme9.22mg
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_221026_NiCl2btd-d4_tefeyo.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1666827622.280,,1.000000e+002,3.000058e+002,1.485921e-005,1.814318e-008,1.709956e-001,4.390347e-004,3,9.121954e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,9.887695e-003,0,,0,
1666828128.033,,1.000000e+002,2.902625e+002,1.548160e-005,1.497852e-008,1.685393e-001,3.297548e-004,3,9.159577e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,8.297729e-002,0,,0,
1666828367.462,,1.000000e+002,2.794575e+002,1.620132e-005,1.473250e-008,1.568756e-001,5.880866e-004,3,9.197829e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.400879e-001,0,,0,
1666828584.381,,1.000000e+002,2.695822e+002,1.689145e-005,1.159784e-008,1.469350e-001,4.977086e-004,3,9.230331e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.911072e-001,0,,0,
1666828802.469,,1.000000e+002,2.595654e+002,1.766503e-005,1.478028e-008,1.378073e-001,1.379279e-004,3,9.260323e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.539978e-001,0,,0,
1666829021.743,,1.000000e+002,2.495991e+002,1.847871e-005,8.648624e-009,1.292327e-001,3.008395e-004,3,9.290545e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.546082e-001,0,,0,
1666829241.313,,1.000000e+002,2.396095e+002,1.937051e-005,1.097883e-008,1.214000e-001,1.425766e-004,3,9.322759e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.279968e-001,0,,0,
1666829461.804,,1.000000e+002,2.295911e+002,2.037711e-005,1.128818e-008,1.144628e-001,4.208022e-004,3,9.353523e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.485962e-001,0,,0,
1666829685.103,,1.000000e+002,2.196152e+002,2.144737e-005,2.503414e-009,1.073167e-001,2.030328e-004,3,9.382646e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.323914e-001,0,,0,
1666829908.932,,1.000000e+002,2.096171e+002,2.262266e-005,9.591703e-009,1.004697e-001,1.050645e-004,3,9.411623e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.301025e-001,0,,0,
1666830135.710,,1.000000e+002,1.996242e+002,2.394547e-005,2.244660e-008,9.377304e-002,4.193095e-004,3,9.444140e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.298889e-001,0,,0,
1666830367.479,,1.000000e+002,1.896605e+002,2.539730e-005,1.285092e-008,8.743062e-002,4.908529e-004,3,9.470180e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.498932e-001,0,,0,
1666830603.274,,1.000000e+002,1.796803e+002,2.703331e-005,5.328719e-009,8.133798e-002,2.941498e-004,3,9.498271e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.452087e-001,0,,0,
1666830844.559,,1.000000e+002,1.697422e+002,2.886260e-005,2.427656e-008,7.568986e-002,2.599683e-004,3,9.521878e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.317047e-001,0,,0,
1666831093.317,,1.000000e+002,1.597782e+002,3.093519e-005,1.174242e-008,6.986459e-002,2.129784e-004,3,9.549090e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.415924e-001,0,,0,
1666831352.122,,1.000000e+002,1.498614e+002,3.327563e-005,7.824094e-009,6.445178e-002,2.921230e-004,3,9.574702e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.185059e-001,0,,0,
1666831615.949,,1.000000e+002,1.399136e+002,3.596285e-005,1.078154e-008,5.955736e-002,9.036166e-005,3,9.600176e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.786957e-001,0,,0,
1666831882.975,,1.000000e+002,1.299636e+002,3.907509e-005,2.263588e-008,5.457130e-002,3.449791e-005,3,9.624835e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.662903e-001,0,,0,
1666832150.266,,1.000000e+002,1.199883e+002,4.274402e-005,8.601831e-009,4.991689e-002,1.897519e-004,3,9.649493e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.396942e-001,0,,0,
1666832553.059,,1.000000e+002,1.100694e+002,4.700812e-005,1.222281e-008,4.519276e-002,1.780764e-004,3,9.672233e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.160645e-002,0,,0,
