[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1666809220.566000 10/26/2022, 7:33:40 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, NiCl2btd-d4_tefeyo
INFO, WEIGHT, 8.630
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, evioseme9.22mg
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_221026_NiCl2btd-d4_tefeyo.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1666809220.566,,1.000000e+002,2.003289e+000,-5.779400e-003,1.237169e-006,2.322392e-002,1.110697e-004,3,9.870172e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,8.358955e-004,0,,0,
1666809413.928,,1.000000e+002,2.253191e+000,-5.773794e-003,6.056730e-007,2.307894e-002,2.843452e-005,3,9.870969e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.621101e-003,0,,0,
1666809605.933,,1.000000e+002,2.503033e+000,-5.761605e-003,7.685470e-007,2.320377e-002,5.846607e-005,3,9.870006e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.406929e-003,0,,0,
1666809811.152,,1.000000e+002,2.752549e+000,-5.749057e-003,1.001502e-006,2.308847e-002,1.041857e-004,3,9.870618e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.746199e-003,0,,0,
1666810044.528,,1.000000e+002,3.001921e+000,-5.735647e-003,1.401870e-006,2.317853e-002,1.560853e-004,3,9.870727e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.016088e-003,0,,0,
1666810328.558,,1.000000e+002,3.251709e+000,-5.721060e-003,9.535852e-007,2.320482e-002,5.852135e-005,3,9.869747e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.043911e-003,0,,0,
1666810654.785,,1.000000e+002,3.512717e+000,-5.709788e-003,2.646738e-006,2.328690e-002,1.303783e-004,3,9.869416e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.036404e-002,0,,0,
1666810875.807,,1.000000e+002,3.763282e+000,-5.697535e-003,1.333788e-006,2.325111e-002,4.616025e-005,3,9.870547e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.336884e-002,0,,0,
1666811134.408,,1.000000e+002,4.006975e+000,-5.681326e-003,1.117253e-006,2.329023e-002,5.903972e-005,3,9.869969e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.396084e-002,0,,0,
1666811483.631,,1.000000e+002,4.257868e+000,-5.663299e-003,6.223360e-007,2.333392e-002,1.178488e-004,3,9.869562e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.857138e-002,0,,0,
