[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875393061.808,10/20/2022,2:05 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2-btdm,SAMPLE_MATERIAL
INFO,4.8mg cling film,SAMPLE_COMMENT
INFO,22.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 25.15 mm,3875395381.44331,1.80202688773473,0.0622519198805094,,,,,,,,,,,,,-0.037056677750688,2.71248438568571E-6,5.17935662946162E-5,1,2,,80,2,1,,,-0.0356889192286994,-0.000133544339826621,-0.000218293251236901,7.62102354201488E-5,,,,0.00905626680794191,39.995735168457,1.99967287061417,1.79967892169952,1.80136215686798,1.80236434936523,0.0533587895333767,0.0711450502276421,0.0563083216547966,1,4,3,4,23.1730000402331,1,20.6410479666044,1.12106323242188,29.8142719268799,30.7917900085449,,,,,,,,,,,,,,,,
,3875395383.66541,1.80077085494995,0.035572525113821,,,,,,,,,,,,,-0.0370551819300098,2.7249001328442E-6,7.4941587543009E-5,1,2,,80,2,2,,,-0.0356875931931244,-0.000111243456017414,-0.000218327055335976,7.60747498134151E-5,,,,0.00905532309383638,39.995735168457,1.99964086367542,1.79907488822937,1.80030882358551,1.80136215686798,0,0.0711450502276421,0.0565199926495552,1,4,3,4,23.1730000402331,1,20.6423825895612,1.12052917480469,30.3030319213867,30.7917900085449,,,,,,,,,,,,,,,,
,3875395385.82939,1.80026707053185,0.0177862625569105,,,,,,,,,,,,,-0.0370562466736009,2.66386388662031E-6,7.0877347551129E-5,1,2,,80,2,3,,,-0.0356885984986711,-0.000115162921664877,-0.000218333225348033,7.6101059676148E-5,,,,0.00905520190389867,39.995735168457,1.99971074597816,1.79933834075928,1.80021297931671,1.80032730102539,0,0.035572525113821,0.056593045592308,1,4,3,4,23.1730000402331,1,20.6417487434538,1.12113952636719,30.7917900085449,28.8367557525635,,,,,,,,,,,,,,,,
,3875395387.96577,1.80033037662506,0.0533587876707315,,,,,,,,,,,,,-0.0370567112588237,2.98100362492452E-6,7.11932466082776E-5,1,2,,80,2,4,,,-0.035689047498319,-0.000114860996493025,-0.000218319750274532,7.61049741413444E-5,,,,0.00905527123189822,39.995735168457,1.99958377206968,1.79935777187347,1.80026543140411,1.80041146278381,0.035572525113821,0.0711450502276421,0.0567771084606647,1,4,3,4,23.1730000402331,1,20.6442508757594,1.11396789550781,31.2805480957031,30.7917900085449,,,,,,,,,,,,,,,,
,3875395390.11761,1.80038201808929,0.0800381824374199,,,,,,,,,,,,,-0.0370551800877959,2.5211509470461E-6,7.38477187998134E-5,1,2,,80,2,5,,,-0.0356875859950629,-0.000112296950377648,-0.000218322413275018,7.60845505283214E-5,,,,0.00905482811077424,39.995735168457,1.99963082795232,1.79939901828766,1.80032885074615,1.80046021938324,0.0711450502276421,0.0889313146471977,0.0568329617381096,1,4,3,4,23.1730000402331,1,20.6433632854925,1.12129211425781,31.7693061828613,30.3030319213867,,,,,,,,,,,,,,,,
,3875395392.25792,1.80054330825806,0.106717579066753,,,,,,,,,,,,,-0.0370547070515373,2.5085352315032E-6,7.52600084469978E-5,1,2,,80,2,6,,,-0.0356871374174537,-0.000110934467745578,-0.000218320623389445,7.60891052777879E-5,,,,0.00905473380497337,39.995735168457,1.99965511493392,1.79963672161102,1.80032885074615,1.8007560968399,0.0889313146471977,0.124503843486309,0.0568067356944084,1,4,3,4,23.1730000402331,1,20.6467603210379,1.12197875976562,32.2580642700195,30.7917900085449,,,,,,,,,,,,,,,,
,3875395394.39096,1.80077602863312,0.124503843486309,,,,,,,,,,,,,-0.0370592780221804,2.86348961419846E-6,7.7561420197513E-5,1,2,,80,2,7,,,-0.0356915510391161,-0.000108740650362907,-0.000218355577089824,7.60768161853775E-5,,,,0.00905572120104837,39.995735168457,1.99965877690775,1.79940330982208,1.80065178871155,1.80088436603546,0.124503843486309,0.124503843486309,0.0569180771708488,1,4,3,4,23.1730000402331,1,20.6445781814149,1.12060546875,32.7468223571777,30.7917900085449,,,,,,,,,,,,,,,,
,3875395396.53212,1.80059397220612,0.106717579066753,,,,,,,,,,,,,-0.0370551206860033,2.43532415890774E-6,7.60619458063584E-5,1,2,,80,2,8,,,-0.0356875397541975,-0.000110164182815084,-0.000218326124013402,7.60753609938547E-5,,,,0.00905473486007705,39.995735168457,1.99963811419465,1.79949009418488,1.80047643184662,1.80073440074921,0.0889313146471977,0.124503843486309,0.0570077747106552,1,4,3,4,23.1730000402331,1,20.6443340314739,1.12281799316406,32.7468223571777,30.7917900085449,,,,,,,,,,,,,,,,
,3875395398.66615,1.80050225257874,0.0978244468569756,,,,,,,,,,,,,-0.037057586512856,3.01589643117494E-6,7.62667914800796E-5,1,2,,80,2,9,,,-0.0356899155598759,-0.000109979101100057,-0.000218334433156997,7.60845941840671E-5,,,,0.00905553197560717,39.995735168457,1.9995982378925,1.79942870140076,1.8002610206604,1.80073297023773,0.0889313146471977,0.106717579066753,0.0569980293512344,1,4,3,4,23.1730000402331,1,20.6461260400411,1.12144470214844,32.7468223571777,30.7917900085449,,,,,,,,,,,,,,,,
,3875395400.81158,1.80035982131958,0.0889313146471977,,,,,,,,,,,,,-0.0370554780019793,2.76882204575646E-6,7.59721964081293E-5,1,2,,80,2,10,,,-0.0356878834273145,-0.000110252380044421,-0.000218329121707939,7.60890761739574E-5,,,,0.00905499106536883,39.995735168457,1.99968341855811,1.79935956001282,1.80023229122162,1.80054211616516,0.0711450502276421,0.106717579066753,0.0569964647293091,1,4,3,4,23.1730000402331,1,20.647159207192,1.12136840820312,33.2355842590332,30.7917900085449,,,,,,,,,,,,,,,,
