[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875411424.845,10/20/2022,7:11 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2-btdm,SAMPLE_MATERIAL
INFO,4.8mg cling film,SAMPLE_COMMENT
INFO,22.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 25.15 mm,3875411962.48217,3.00101881027222,0.355725258588791,,,,,,,,,,,,,0.0394363874577664,2.93962260383816E-6,-6.79680130594468E-5,1,2,,80,2,1,,,0.03798087215137,0.000129746464821362,0.000229447658057325,-8.01137357484549E-5,,,,0.00951907416386279,39.995735168457,1.97446471080915,3.00215840339661,3.00092172622681,3.00115180015564,0.355725258588791,0.355725258588791,0.0948842689394951,1,4,3,4,23.1730000402331,1,20.6617822646666,1.11343383789062,31.7693061828613,32.7468223571777,,,,,,,,,,,,,,,,
,3875411964.72283,3.00100774765015,0.391297787427902,,,,,,,,,,,,,0.0394297864829232,1.93205051590748E-6,-9.57704245172441E-5,1,2,,80,2,2,,,0.037974652484572,0.000102937766916885,0.000229475190280937,-7.99336121417582E-5,,,,0.00951691320038147,39.995735168457,1.97452297292937,3.00191450119019,3.00089859962463,3.00115180015564,0.355725258588791,0.426870316267014,0.0950240567326546,1,4,3,4,23.1730000402331,1,20.6599617073604,1.11030578613281,30.7917900085449,32.2580642700195,,,,,,,,,,,,,,,,
,3875411966.91717,3.00090618133545,0.382404670119286,,,,,,,,,,,,,0.0394283314470081,2.2807031813144E-6,-9.08642215105791E-5,1,2,,80,2,3,,,0.0379732268760272,0.000107655642738274,0.000229448371101171,-7.99638219177723E-5,,,,0.0095162272743092,39.995735168457,1.9744701853668,3.00174164772034,3.00078129768372,3.00097680091858,0.337939023971558,0.426870316267014,0.0951105281710625,1,4,3,4,23.1730000402331,1,20.6616447187093,1.11358642578125,32.2580642700195,32.7468223571777,,,,,,,,,,,,,,,,
,3875411969.06153,3.00063467025757,0.337939023971558,,,,,,,,,,,,,0.039426513531276,1.83672961262948E-6,-8.95093377534085E-5,1,2,,80,2,4,,,0.0379714693568128,0.000108951484428726,0.000229434575885534,-7.99786430434324E-5,,,,0.00951616073657872,39.995735168457,1.97449574740366,3.00106573104858,3.00045275688171,3.00087022781372,0.337939023971558,0.337939023971558,0.095224492251873,1,4,3,4,23.1730000402331,1,20.6640527343968,1.11076354980469,31.2805480957031,32.2580642700195,,,,,,,,,,,,,,,,
,3875411971.20056,3.00027413368225,0.329045876860619,,,,,,,,,,,,,0.0394266940924704,2.06515950002704E-6,-9.14627987000903E-5,1,2,,80,2,5,,,0.037971652917629,0.000107071026950531,0.000229449055041186,-7.9968995123636E-5,,,,0.00951634145897507,39.995735168457,1.97457355981111,3.0010974407196,3.00008726119995,3.00048112869263,0.32015272974968,0.337939023971558,0.0953292325139046,1,4,3,4,23.1730000402331,1,20.6636189277092,1.11122131347656,33.2355842590332,31.7693061828613,,,,,,,,,,,,,,,,
,3875411973.36063,3.00002279281616,0.329045876860619,,,,,,,,,,,,,0.0394258277814644,2.07865594290094E-6,-9.0725723119763E-5,1,2,,80,2,6,,,0.03797081493783,0.000107776604172596,0.000229436918743886,-7.99738772911951E-5,,,,0.00951592477048143,39.995735168457,1.97453610420442,3.00128364562988,2.99993419647217,3.00008726119995,0.32015272974968,0.337939023971558,0.0954294800758362,1,4,3,4,23.1730000402331,1,20.6645796814815,1.10984802246094,33.7243423461914,32.2580642700195,,,,,,,,,,,,,,,,
,3875411975.5078,3.00007729530334,0.346832141280174,,,,,,,,,,,,,0.0394244765733498,1.97785763381082E-6,-9.32105848644317E-5,1,2,,80,2,7,,,0.0379695259139571,0.000105376796711031,0.000229439057875425,-7.99569897935726E-5,,,,0.0095159978640216,39.995735168457,1.97457563905433,3.00144243240356,3.00000715255737,3.00015878677368,0.337939023971558,0.355725258588791,0.0954472571611404,1,4,3,4,23.1730000402331,1,20.664269009752,1.11312866210938,33.7243423461914,32.2580642700195,,,,,,,,,,,,,,,,
,3875411977.62857,3.00027294158936,0.391297787427902,,,,,,,,,,,,,0.0394265413368147,1.67159572891365E-6,-9.00548398771575E-5,1,2,,80,2,8,,,0.0379714988404956,0.000108426289319199,0.00022944160446059,-7.99846020527184E-5,,,,0.00951626977117775,39.995735168457,1.97456576595752,3.00132775306702,3.00014591217041,3.00037980079651,0.355725258588791,0.426870316267014,0.0954901650547981,1,4,3,4,23.1730000402331,1,20.6656266278967,1.11030578613281,34.2131004333496,32.7468223571777,,,,,,,,,,,,,,,,
,3875411979.76171,3.00026869773865,0.444656580686569,,,,,,,,,,,,,0.0394231130553989,2.18864243160573E-6,-9.12329439632698E-5,1,2,,80,2,9,,,0.0379682029583807,0.000107274739333658,0.000229417550144717,-7.99683984951116E-5,,,,0.00951541822522176,39.995735168457,1.97450807853745,3.00139856338501,3.00019240379334,3.00037980079651,0.426870316267014,0.462442845106125,0.0955683067440987,1,4,3,4,23.1730000402331,1,20.6656091811866,1.11091613769531,34.2131004333496,32.2580642700195,,,,,,,,,,,,,,,,
,3875411981.92116,3.00028762817383,0.400190934538841,,,,,,,,,,,,,0.0394228770135752,1.74783232833425E-6,-9.25897172443925E-5,1,2,,80,2,10,,,0.0379679823396188,0.000105966858004583,0.000229431549087167,-7.99645204097033E-5,,,,0.00951596949311651,39.995735168457,1.97461934357854,3.00150036811829,3.00019240379334,3.00037813186646,0.337939023971558,0.462442845106125,0.0955777168273926,1,4,3,4,23.1730000402331,1,20.6656317515042,1.11366271972656,34.7018585205078,32.7468223571777,,,,,,,,,,,,,,,,
