[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875444584.879,10/20/2022,4:24 pm
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2-btdm,SAMPLE_MATERIAL
INFO,4.8mg cling film,SAMPLE_COMMENT
INFO,22.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 25.15 mm,3875445282.44752,8.00010681152344,0.640305459499359,,,,,,,,,,,,,0.0378083354416911,2.43973153205261E-6,-6.84905013893798E-5,1,2,,80,2,1,,,0.036412866444879,0.000121184581391655,0.000219943409319967,-7.68280078773387E-5,,,,0.00912480228944625,39.995735168457,1.97426771122663,7.99921941757202,7.99983787536621,8.00063705444336,0.640305459499359,0.640305459499359,0.242023378610611,1,4,3,4,23.1730000402331,1,20.6744339216673,1.11160278320312,32.2580642700195,32.2580642700195,,,,,,,,,,,,,,,,
,3875445284.69911,7.99992027282715,0.640305459499359,,,,,,,,,,,,,0.0377989234387938,2.19922067375986E-6,-8.92331867394657E-5,1,2,,80,2,2,,,0.0364039045867177,0.000101161086192699,0.000219934823689982,-7.66882440075278E-5,,,,0.00912229203475136,39.995735168457,1.97429868569676,7.99890375137329,7.99985694885254,8.00000190734863,0.640305459499359,0.640305459499359,0.242120459675789,1,4,3,4,23.1730000402331,1,20.6741409334107,1.11679077148438,32.2580642700195,30.7917900085449,,,,,,,,,,,,,,,,
,3875445286.86705,7.99995384216309,0.622519224882126,,,,,,,,,,,,,0.0377992670524491,2.37157453982731E-6,-8.55949264902248E-5,1,2,,80,2,3,,,0.0364042175021602,0.000104666718807543,0.000219930981984362,-7.67065866966732E-5,,,,0.0091224252659845,39.995735168457,1.97430169539703,7.99930047988892,7.9998950958252,8.00007438659668,0.604732990264893,0.640305459499359,0.242078617215157,1,4,3,4,23.1730000402331,1,20.6731965028343,1.11190795898438,32.7468223571777,32.2580642700195,,,,,,,,,,,,,,,,
,3875445289.00785,8.00001220703125,0.658091753721237,,,,,,,,,,,,,0.0378005530052571,2.17132813781E-6,-8.41964207038876E-5,1,2,,80,2,4,,,0.036405449061073,0.000106019982314156,0.000219925626879558,-7.67316960263997E-5,,,,0.00912242803980799,39.995735168457,1.97426100710293,7.99934959411621,7.99971008300781,8.00011444091797,0.604732990264893,0.711450517177582,0.242164716124535,1,4,3,4,23.1730000402331,1,20.6773379946843,1.11190795898438,32.7468223571777,32.2580642700195,,,,,,,,,,,,,,,,
,3875445291.1466,8.00005493164062,0.702557384967804,,,,,,,,,,,,,0.0377985237337033,2.18404542698515E-6,-8.55994323119804E-5,1,2,,80,2,5,,,0.0364035016559597,0.000104658750844221,0.000219914509216323,-7.67134333727881E-5,,,,0.00912174541970442,39.995735168457,1.97422606631827,7.9995698928833,7.99971008300781,8.00033187866211,0.693664252758026,0.711450517177582,0.242122858762741,1,4,3,4,23.1730000402331,1,20.6761306282008,1.11618041992188,33.2355842590332,32.7468223571777,,,,,,,,,,,,,,,,
,3875445293.28787,8.0002179145813,0.711450546979904,,,,,,,,,,,,,0.037797982195673,2.40848592447029E-6,-8.57653063183485E-5,1,2,,80,2,6,,,0.0364029809298459,0.000104496325744222,0.00021991266112309,-7.67150631872937E-5,,,,0.00912140599489681,39.995735168457,1.97424451224018,7.99926328659058,8.00006866455078,8.00033187866211,0.693664252758026,0.729236841201782,0.24215079843998,1,4,3,4,23.1730000402331,1,20.6769122203422,1.11160278320312,33.2355842590332,32.7468223571777,,,,,,,,,,,,,,,,
,3875445295.43859,8.0002571105957,0.693664312362671,,,,,,,,,,,,,0.0377994619302952,2.14128665075109E-6,-8.56601284841944E-5,1,2,,80,2,7,,,0.0364044055116949,0.000104604933689039,0.000219919253140688,-7.67208330216818E-5,,,,0.00912214876355742,39.995735168457,1.97423590849246,7.99907398223877,8.00022506713867,8.00032424926758,0.65809178352356,0.729236841201782,0.24215079843998,1,4,3,4,23.1730000402331,1,20.6775537413447,1.11328125,33.7243423461914,31.7693061828613,,,,,,,,,,,,,,,,
,3875445297.57798,8.00020484924316,0.65809178352356,,,,,,,,,,,,,0.0377950660871493,1.90993813808125E-6,-8.66927987679558E-5,1,2,,80,2,8,,,0.0364001770604808,0.000103588605950458,0.000219892419409007,-7.67036253819242E-5,,,,0.00912097999773825,39.995735168457,1.97420179807462,7.99905300140381,8.0001335144043,8.00025177001953,0.65809178352356,0.65809178352356,0.242275729775429,1,4,3,4,23.1730000402331,1,20.6773116675532,1.11610412597656,34.2131004333496,32.7468223571777,,,,,,,,,,,,,,,,
,3875445299.72635,8.00033073425293,0.684771150350571,,,,,,,,,,,,,0.0377990128214043,2.53095111871592E-6,-8.51489786123352E-5,1,2,,80,2,9,,,0.0364039704484132,0.00010509498419262,0.000219919631490484,-7.67327437642962E-5,,,,0.00912222364979734,39.995735168457,1.97429710886558,7.99910306930542,8.00025177001953,8.00043106079102,0.65809178352356,0.711450517177582,0.242328062653542,1,4,3,4,23.1730000402331,1,20.6795162235153,1.11427307128906,34.7018585205078,30.3030319213867,,,,,,,,,,,,,,,,
,3875445301.86136,8.00044631958008,0.684771150350571,,,,,,,,,,,,,0.0377981265154414,1.85490646050728E-6,-8.84818124476288E-5,1,2,,80,2,10,,,0.0364031333564889,0.000101880804792386,0.000219916008063592,-7.67013916629367E-5,,,,0.00912138277767774,39.995735168457,1.97422481843725,7.99881505966186,8.00041961669922,8.00049781799316,0.65809178352356,0.711450517177582,0.2422886043787,1,4,3,4,23.1730000402331,1,20.677582768731,1.11076354980469,34.7018585205078,32.7468223571777,,,,,,,,,,,,,,,,
