[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1626373528.781000 7/15/2021, 7:25:28 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, NiCl2pym
INFO, WEIGHT, 12.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, 10.7 mg eicosane
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_210715_NiCl2pym.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1626373528.781,,1.000000e+002,3.000094e+002,2.793169e-005,1.317760e-008,1.251404e-001,2.391981e-004,3,9.664696e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.980591e-002,0,,0,
1626374036.817,,1.000000e+002,2.902460e+002,2.896459e-005,1.418113e-008,1.231618e-001,6.607720e-005,3,9.672169e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.529785e-002,0,,0,
1626374281.258,,1.000000e+002,2.794945e+002,3.020603e-005,9.445273e-009,1.123287e-001,5.281075e-005,3,9.692295e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.656006e-001,0,,0,
1626374501.347,,1.000000e+002,2.695732e+002,3.140585e-005,1.266572e-008,1.028322e-001,1.361483e-004,3,9.707466e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.224792e-001,0,,0,
1626374725.074,,1.000000e+002,2.596001e+002,3.272638e-005,1.466539e-008,9.454934e-002,5.271683e-005,3,9.721683e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.756042e-001,0,,0,
1626374945.462,,1.000000e+002,2.495972e+002,3.412396e-005,1.452770e-008,8.714539e-002,2.734123e-004,3,9.736469e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.277069e-001,0,,0,
1626375169.719,,1.000000e+002,2.396222e+002,3.567495e-005,1.560303e-008,8.052073e-002,5.470085e-005,3,9.747975e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.773132e-001,0,,0,
1626375395.099,,1.000000e+002,2.296238e+002,3.733645e-005,9.503351e-009,7.426593e-002,3.851771e-005,3,9.765556e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.428894e-001,0,,0,
1626375619.384,,1.000000e+002,2.196189e+002,3.914685e-005,2.060713e-008,6.796357e-002,2.009886e-004,3,9.778810e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.477875e-001,0,,0,
1626375845.512,,1.000000e+002,2.096242e+002,4.114566e-005,2.036266e-008,6.211484e-002,1.001877e-004,3,9.789319e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.489014e-001,0,,0,
1626376076.457,,1.000000e+002,1.996508e+002,4.336793e-005,1.909403e-008,5.658817e-002,1.105397e-004,3,9.802107e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.214050e-001,0,,0,
1626376308.200,,1.000000e+002,1.896664e+002,4.582851e-005,1.089750e-008,5.096711e-002,9.003775e-005,3,9.813123e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.653046e-001,0,,0,
1626376546.541,,1.000000e+002,1.796962e+002,4.857660e-005,1.705055e-008,4.593011e-002,1.471090e-004,3,9.825011e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.106934e-001,0,,0,
1626376787.645,,1.000000e+002,1.697176e+002,5.163863e-005,1.185300e-008,4.161648e-002,8.306275e-005,3,9.838158e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.315063e-001,0,,0,
1626377038.203,,1.000000e+002,1.597971e+002,5.507697e-005,1.203531e-008,3.727966e-002,1.371758e-004,3,9.849209e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.359924e-001,0,,0,
1626377294.672,,1.000000e+002,1.498702e+002,5.902226e-005,1.748433e-008,3.297662e-002,1.007001e-004,3,9.858030e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.893005e-001,0,,0,
1626377555.571,,1.000000e+002,1.399206e+002,6.351306e-005,8.670551e-009,2.859461e-002,7.922041e-005,3,9.869438e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.999969e-001,0,,0,
1626377820.588,,1.000000e+002,1.299731e+002,6.869865e-005,1.416023e-008,2.459280e-002,1.796525e-004,3,9.879050e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.811981e-001,0,,0,
