[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1626353194.365000 7/15/2021, 1:46:34 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, NiCl2pym
INFO, WEIGHT, 12.300
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, 10.7 mg eicosane
INFO, SEQUENCE FILE: JP_ZFC_MH_FC_210715_NiCl2pym.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1626353194.365,,1.000000e+002,2.000938e+000,3.151778e-004,1.247306e-006,-5.269627e-002,7.298782e-005,3,9.894873e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,7.760525e-004,0,,0,
1626353394.050,,1.000000e+002,2.251966e+000,3.144415e-004,1.465603e-006,-5.324867e-002,6.222896e-004,3,9.895400e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.665043e-003,0,,0,
1626353592.972,,1.000000e+002,2.501926e+000,3.128435e-004,1.483396e-006,-5.201459e-002,1.386940e-004,3,9.894996e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.052162e-003,0,,0,
1626353802.671,,1.000000e+002,2.751792e+000,3.107162e-004,1.629445e-006,-5.317672e-002,6.922426e-004,3,9.894966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.014181e-003,0,,0,
1626354042.045,,1.000000e+002,3.001597e+000,3.095508e-004,1.566977e-006,-5.506669e-002,2.496681e-004,3,9.892330e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.309105e-003,0,,0,
1626354330.495,,1.000000e+002,3.250936e+000,3.083827e-004,1.685759e-006,-5.397750e-002,3.932813e-004,3,9.891902e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.845070e-003,0,,0,
1626354543.572,,1.000000e+002,3.533598e+000,3.033601e-004,1.734923e-006,-5.381074e-002,2.198913e-004,3,9.890776e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.362703e-002,0,,0,
1626354751.130,,1.000000e+002,3.763747e+000,3.008146e-004,1.081528e-006,-5.354727e-002,1.142097e-004,3,9.889506e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.283503e-002,0,,0,
1626355005.333,,1.000000e+002,4.010678e+000,2.988087e-004,9.121117e-007,-5.354826e-002,2.672366e-004,3,9.890924e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.522827e-002,0,,0,
1626355325.068,,1.000000e+002,4.259007e+000,2.968108e-004,8.833049e-007,-5.314822e-002,1.703322e-004,3,9.890641e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.904011e-002,0,,0,
