[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875287827.139,10/18/2022,8:51 pm
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2pym,SAMPLE_MATERIAL
INFO,7.3mg cling film,SAMPLE_COMMENT
INFO,17.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 27.08 mm,3875288833.97697,1.80462453365326,0.711450517177582,,,,,,,,,,,,,0.0573985432768195,4.24342703482045E-6,-8.17372683957908E-5,1,2,,80,2,1,,,0.0552799760669335,0.000205396266423047,0.00033780443482101,-0.000118326919618994,,,,0.0140253263534548,39.995735168457,1.99848566590251,1.79960310459137,1.8037406206131,1.80527281761169,0.711450517177582,0.711450517177582,0.0575042776763439,1,4,3,0,23.3230000458956,1,20.7019672290305,1.1163330078125,31.7693061828613,32.7468223571777,,,,,,,,,,,,,,,,
,3875288836.20248,1.8024050951004,0.4802291020751,,,,,,,,,,,,,0.0573962710349623,5.05593934665822E-6,-0.000110895653754562,1,2,,80,2,2,,,0.0552779319448915,0.000177302850282581,0.000337869161739945,-0.000118130170449149,,,,0.0140237873976883,39.995735168457,1.99854266355617,1.79882800579071,1.80154073238373,1.8037406206131,0.249007686972618,0.711450517177582,0.057855773717165,1,4,3,0,23.3230000458956,1,20.6979282742873,1.11770629882812,31.7693061828613,32.2580642700195,,,,,,,,,,,,,,,,
,3875288838.38515,1.80103375911713,0.24011455476284,,,,,,,,,,,,,0.0574001783585115,4.80508278356716E-6,-0.000112601905153746,1,2,,80,2,3,,,0.0552817033888509,0.000175678724429848,0.000337883626343682,-0.000118148665933404,,,,0.0140245292841013,39.995735168457,1.99851620794948,1.79874682426453,1.80023300647736,1.80154073238373,0.231221422553062,0.249007686972618,0.0579762011766434,1,4,3,0,23.3230000458956,1,20.7016545953896,1.12541198730469,32.2580642700195,32.7468223571777,,,,,,,,,,,,,,,,
,3875288840.5208,1.80071408748627,0.231221422553062,,,,,,,,,,,,,0.057397745536323,4.70485174105495E-6,-0.0001129497336779,1,2,,80,2,4,,,0.0552793620836461,0.000175331687436456,0.00033787134452723,-0.000118143521831371,,,,0.0140242115674948,39.995735168457,1.99852692930678,1.79863810539246,1.80030012130737,1.80120670795441,0.231221422553062,0.231221422553062,0.0580805018544197,1,4,3,0,23.3230000458956,1,20.7018782156481,1.11747741699219,32.7468223571777,32.7468223571777,,,,,,,,,,,,,,,,
,3875288842.6581,1.80054039955139,0.257900811731815,,,,,,,,,,,,,0.0573915920383599,4.3319867530514E-6,-0.000111497402195142,1,2,,80,2,5,,,0.055273428565088,0.000176699965481614,0.000337835459504277,-0.000118142605060712,,,,0.0140226736492664,39.995735168457,1.99855102568823,1.79923737049103,1.80030012130737,1.80085122585297,0.231221422553062,0.284580200910568,0.0582017973065376,1,4,3,0,23.3230000458956,1,20.7021980554804,1.11656188964844,33.2355842590332,32.7468223571777,,,,,,,,,,,,,,,,
,3875288844.80655,1.80139474868774,0.293473348021507,,,,,,,,,,,,,0.0573964251878879,4.93186875898774E-6,-0.000114136019160447,1,2,,80,2,6,,,0.0552780963738791,0.000174182710220995,0.000337866164045408,-0.000118128045869526,,,,0.0140233078125565,39.995735168457,1.99851675699756,1.79931724071503,1.80085122585297,1.80162334442139,0.284580200910568,0.302366495132446,0.0583669915795326,1,4,3,0,23.3230000458956,1,20.7010001479837,1.12480163574219,33.2355842590332,32.2580642700195,,,,,,,,,,,,,,,,
,3875288846.96286,1.80140130519867,0.302366495132446,,,,,,,,,,,,,0.0573953681062113,4.66543839589225E-6,-0.000116061842240812,1,2,,80,2,7,,,0.0552770878550525,0.000172322757318575,0.000337881821906194,-0.000118121075502131,,,,0.0140241954821685,39.995735168457,1.99862565965808,1.79897284507751,1.80121445655823,1.80162334442139,0.302366495132446,0.302366495132446,0.0583861880004406,1,4,3,0,23.3230000458956,1,20.7010442473047,1.11572265625,33.7243423461914,32.7468223571777,,,,,,,,,,,,,,,,
,3875288849.1024,1.80096027851105,0.302366495132446,,,,,,,,,,,,,0.0573934976336678,4.62395997358991E-6,-0.000112183490172541,1,2,,80,2,8,,,0.0552752672270172,0.000176048674303986,0.000337854260578752,-0.000118136529636104,,,,0.0140232642294804,39.995735168457,1.9985730382609,1.79873406887054,1.80072510242462,1.80121445655823,0.302366495132446,0.302366495132446,0.0584584176540375,1,4,3,0,23.3230000458956,1,20.7009676664183,1.12518310546875,33.7243423461914,32.2580642700195,,,,,,,,,,,,,,,,
,3875288851.22801,1.80077202320099,0.284580215811729,,,,,,,,,,,,,0.0573919110142358,4.77863190885194E-6,-0.000111786971499547,1,2,,80,2,9,,,0.0552737372094965,0.000176422686597896,0.000337842211592942,-0.000118144584121183,,,,0.0140234944232725,39.995735168457,1.99857980918058,1.79864346981049,1.80070197582245,1.80081558227539,0.266793936491013,0.302366495132446,0.0585024766623974,1,4,3,0,23.3230000458956,1,20.7024287458858,1.11564636230469,34.2131004333496,32.7468223571777,,,,,,,,,,,,,,,,
,3875288853.37289,1.80073964595795,0.284580215811729,,,,,,,,,,,,,0.0573895244859616,4.73836745425097E-6,-0.00011676514303279,1,2,,80,2,10,,,0.0552714634269855,0.000171616480337533,0.000337834353558719,-0.000118118587124627,,,,0.0140221555033132,39.995735168457,1.99857307545738,1.79918074607849,1.80059540271759,1.80091440677643,0.266793936491013,0.302366495132446,0.058451984077692,1,4,3,0,23.3230000458956,1,20.7038900145713,1.11618041992188,34.7018585205078,32.2580642700195,,,,,,,,,,,,,,,,
