[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875339809.840,10/19/2022,11:17 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2pym,SAMPLE_MATERIAL
INFO,7.3mg cling film,SAMPLE_COMMENT
INFO,17.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
sample offset = 27.08 mm,3875341672.96894,3.00234065055847,0.640305489301682,,,,,,,,,,,,,-4.94792188563013E-5,8.95058898750924E-7,6.28421697439995E-7,1,2,,80,2,1,,,-4.7655732030096E-5,3.60306233627308E-7,-2.93920891181187E-7,9.91289965668329E-8,,,,1.21198653902442E-5,39.995735168457,2.00921242343474,3.00377726554871,3.0017511844635,3.002610206604,0.586946725845337,0.693664252758026,0.0949041321873665,1,4,3,4,23.3230000458956,1,20.6809892604875,1.1285400390625,30.3030319213867,31.2805480957031,,,,,,,,,,,,,,,,
,3875341675.16791,3.00257029533386,0.658091723918915,,,,,,,,,,,,,-4.89495493871503E-5,8.48664268144735E-7,-2.11922179817422E-6,1,2,,80,2,2,,,-4.71320155718349E-5,-2.28328221265045E-6,-2.85064089666776E-7,1.14300611642193E-7,,,,1.2000245405804E-5,39.995735168457,2.00918806524058,3.00252461433411,3.00237965583801,3.00275802612305,0.622519195079804,0.693664252758026,0.0951024815440178,1,4,3,4,23.3230000458956,1,20.6859443775547,1.12762451171875,31.2805480957031,30.7917900085449,,,,,,,,,,,,,,,,
,3875341677.33859,3.00185956954956,0.60473296046257,,,,,,,,,,,,,-4.79521957428605E-5,9.04511765301381E-7,-1.78160203761577E-6,1,2,,80,2,3,,,-4.61731518549597E-5,-1.95318934960979E-6,-2.79872551800509E-7,1.10228960181757E-7,,,,1.20219210003259E-5,39.995735168457,2.00921300025651,3.00127768516541,3.00144624710083,3.00237965583801,0.586946725845337,0.622519195079804,0.0953278988599777,1,4,3,4,23.3230000458956,1,20.6853543086296,1.12861633300781,31.2805480957031,30.7917900085449,,,,,,,,,,,,,,,,
,3875341679.47695,3.00096216201782,0.622519254684448,,,,,,,,,,,,,-4.90043753711074E-5,8.48514934958041E-7,-1.46738128691466E-6,1,2,,80,2,4,,,-4.71880440898733E-5,-1.65577669575127E-6,-2.86752140254976E-7,1.10557529353628E-7,,,,1.20081045782909E-5,39.995735168457,2.0092363605701,3.0009925365448,3.00056147575378,3.00144624710083,0.586946725845337,0.65809178352356,0.0954446122050285,1,4,3,4,23.3230000458956,1,20.6849628924563,1.13555908203125,31.7693061828613,30.7917900085449,,,,,,,,,,,,,,,,
,3875341681.59577,3.00039081573486,0.65809178352356,,,,,,,,,,,,,-4.84077531709131E-5,8.49830126880535E-7,-1.8360407956689E-6,1,2,,80,2,5,,,-4.66116222465872E-5,-2.00787342029812E-6,-2.82467084389282E-7,1.11507027611424E-7,,,,1.18666099730947E-5,39.995735168457,2.0093215867103,3.00130820274353,3.00031590461731,3.00056147575378,0.65809178352356,0.65809178352356,0.0955370217561722,1,4,3,4,23.3230000458956,1,20.6859910472175,1.12701416015625,32.2580642700195,30.7917900085449,,,,,,,,,,,,,,,,
,3875341683.73295,3.00025062561035,0.640305489301682,,,,,,,,,,,,,-4.83838307756557E-5,8.8070817067219E-7,-4.80892075698674E-7,1,2,,80,2,6,,,-4.65952908054335E-5,-7.02633562168702E-7,-2.85140487221724E-7,1.03430942033356E-7,,,,1.20507404552681E-5,39.995735168457,2.00927653391536,3.00130009651184,3.00009942054749,3.00037407875061,0.622519195079804,0.65809178352356,0.0957215651869774,1,4,3,4,23.3230000458956,1,20.6840416510571,1.12762451171875,32.2580642700195,30.7917900085449,,,,,,,,,,,,,,,,
,3875341685.87472,3.0003098487854,0.631412327289581,,,,,,,,,,,,,-4.85620321348742E-5,9.19391902062418E-7,-1.5920153837479E-6,1,2,,80,2,7,,,-4.67614136694949E-5,-1.77362020301845E-6,-2.83866683048473E-7,1.1038303426858E-7,,,,1.19005060494057E-5,39.995735168457,2.00919058423016,3.00135540962219,3.00026726722717,3.00037264823914,0.622519195079804,0.640305459499359,0.0956919491291046,1,4,3,4,23.3230000458956,1,20.6870873217892,1.12586975097656,32.7468223571777,30.7917900085449,,,,,,,,,,,,,,,,
,3875341687.99882,3.00045502185822,0.586946666240692,,,,,,,,,,,,,-4.8964579415057E-5,8.25218474994542E-7,-1.50438492294028E-6,1,2,,80,2,8,,,-4.71495340840827E-5,-1.69121727412321E-6,-2.864330497232E-7,1.10703808786639E-7,,,,1.19985316335664E-5,39.995735168457,2.00921836504506,3.00106692314148,3.00037264823914,3.00052571296692,0.533587872982025,0.640305459499359,0.0958442911505699,1,4,3,4,23.3230000458956,1,20.6871933336985,1.12686157226562,32.7468223571777,30.7917900085449,,,,,,,,,,,,,,,,
,3875341690.13003,3.00039319992065,0.578053534030914,,,,,,,,,,,,,-4.92278512707456E-5,8.47693387984367E-7,-6.82413764920556E-7,1,2,,80,2,9,,,-4.74071555347381E-5,-9.00893536757299E-7,-2.89683384835371E-7,1.06377513020561E-7,,,,1.22661564782146E-5,39.995735168457,2.00909116682312,3.0013644695282,3.00031900405884,3.00045418739319,0.533587872982025,0.622519195079804,0.095898725092411,1,4,3,4,23.3230000458956,1,20.6859593963751,1.1273193359375,32.2580642700195,30.7917900085449,,,,,,,,,,,,,,,,
,3875341692.25995,3.00044951438904,0.649198621511459,,,,,,,,,,,,,-4.87346459439465E-5,8.9518484116421E-7,-4.02818105879017E-7,1,2,,80,2,10,,,-4.69335415806434E-5,-6.2917830814371E-7,-2.87351383576606E-7,1.03699491660336E-7,,,,1.19363528062503E-5,39.995735168457,2.00911321175418,3.00151133537292,3.00031900405884,3.00058126449585,0.622519195079804,0.675878047943115,0.095875471830368,1,4,3,4,23.3230000458956,1,20.6858728214564,1.11785888671875,33.2355842590332,30.7917900085449,,,,,,,,,,,,,,,,
