nicl2pym,,nicl2pym_2,,RuMnCl4Pyz4,,RuMnCl4Pyz4_2,,nicl2BTD_gixawe,,nicl2BTD_gixawe_2,,Fe_pym_c12,,Fe_pym_c12_2,,FeCl2BTD,,FeCl2BTD_2,,FeCl2BTD_hohaja,,FeCl2BTD_hohaja_2,,NiCl2BTD_zusundi,,NiCl2BTD_zusundi_2,,FeCl2BTD_D4,,FeCl2BTD_D4_2,,
Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),
800,0.06901953369,800,0.08155988902,800,0.009552738629,800,0.009012059309,800,0.1263135672,800,0.1184296086,800,0.01352029759,800,0.01163327694,800,0.0482250303,800,0.04479176551,800,0.7365519404,800,0.8099169135,800,0.7773163319,800,1.130551577,800,0.7913472652,800,0.7432268858,
799,0.06983786076,799,0.0822070986,799,0.009780248627,799,0.008988386951,799,0.1289212257,799,0.1200248152,799,0.01336653624,799,0.01161134988,799,0.04827773198,799,0.04418461397,799,0.7361826897,799,0.812754035,799,0.7797104716,799,1.126932502,799,0.7947900295,799,0.7440133095,
798,0.0714834258,798,0.08270727098,798,0.009931151755,798,0.009040186182,798,0.1308946162,798,0.1209399477,798,0.01326101273,798,0.01149149518,798,0.04810786992,798,0.04436638951,798,0.7354680896,798,0.8167527914,798,0.7804706097,798,1.127943397,798,0.7968783975,798,0.7451279759,
797,0.07138247043,797,0.08372214437,797,0.009789573029,797,0.009088275023,797,0.1302220076,797,0.1222441941,797,0.01276962925,797,0.01150462683,797,0.04711969942,797,0.04402529076,797,0.7393949032,797,0.8156113625,797,0.782628417,797,1.12680614,797,0.7974099517,797,0.7472640872,
796,0.07241743058,796,0.08482284099,796,0.01023352239,796,0.009534335695,796,0.1327057332,796,0.1240120083,796,0.01317109726,796,0.011343088,796,0.04765060917,796,0.04387185723,796,0.745875597,796,0.8241736889,796,0.7824433446,796,1.132112622,796,0.7982430458,796,0.7459045053,
795,0.07350804657,795,0.0864956975,795,0.01043855119,795,0.009598681703,795,0.1339088678,795,0.1252242923,795,0.01315124519,795,0.01149047259,795,0.04686324671,795,0.04387806728,795,0.7449705601,795,0.8274442554,795,0.7880313396,795,1.139582634,795,0.8007481694,795,0.7516151071,
794,0.07415875047,794,0.08742469549,794,0.01048072707,794,0.009480956942,794,0.1350603551,794,0.1263907999,794,0.01310386602,794,0.01121430099,794,0.04677957669,794,0.04308769107,794,0.7463884354,794,0.8273607492,794,0.787770927,794,1.136787772,794,0.8062466979,794,0.7489928603,
793,0.07611589134,793,0.08882176131,793,0.01077633537,793,0.009807399474,793,0.1379490942,793,0.1290421933,793,0.01302036643,793,0.01157811191,793,0.04672461748,793,0.04369067773,793,0.7516528368,793,0.834900856,793,0.7887602448,793,1.138289452,793,0.8071591854,793,0.755920589,
792,0.07580676675,792,0.08968385309,792,0.01053432934,792,0.009600336663,792,0.1386288404,792,0.1295580417,792,0.01270047389,792,0.01102235634,792,0.04587158933,792,0.04272709414,792,0.7506693602,792,0.8324687481,792,0.7846254706,792,1.141728759,792,0.8085794449,792,0.7559043765,
791,0.07696555555,791,0.09064024687,791,0.01088135876,791,0.009735017084,791,0.1390416324,791,0.1304128468,791,0.01255561225,791,0.01111722551,791,0.045636978,791,0.0420797579,791,0.752479136,791,0.832344532,791,0.7862250805,791,1.144175291,791,0.8071910143,791,0.7549652457,
790,0.07841780782,790,0.09142372757,790,0.01087374892,790,0.01008325163,790,0.1414646655,790,0.1324377805,790,0.01269480865,790,0.01120295189,790,0.04570975527,790,0.0421657376,790,0.7589052916,790,0.840051055,790,0.7904213667,790,1.141398549,790,0.8080376983,790,0.7593960166,
789,0.07878831029,789,0.09305277467,789,0.01096490398,789,0.01020693313,789,0.1433324963,789,0.1333742738,789,0.01260519773,789,0.01106878277,789,0.04559773952,789,0.04224869981,789,0.760379076,789,0.8404299617,789,0.7916759849,789,1.146880984,789,0.8123970032,789,0.758010745,
788,0.08073001355,788,0.09457877278,788,0.01133292913,788,0.01045321114,788,0.1450573653,788,0.1368281096,788,0.01238640677,788,0.01120632887,788,0.04553564638,788,0.04247260839,788,0.7631124258,788,0.8451457024,788,0.7944104671,788,1.150433898,788,0.8117725849,788,0.7587655783,
787,0.08173701167,787,0.09542407095,787,0.01143012941,787,0.01037486829,787,0.1459771693,787,0.1378092468,787,0.0124849882,787,0.01087716036,787,0.04487754405,787,0.04173907265,787,0.7669639587,787,0.8478217125,787,0.7938187718,787,1.155642748,787,0.8174484372,787,0.7651343346,
